,ct1,ct2,ID,Statistic,U,pvalue,n_adenoma_ROIs,n_cancer_ROIs,median_adenoma,median_carcinoma,newindex,StatisticType,StatType,UniqueStatID
0,A,B,0,WassersteinDistance_A-B,553.0,0.20426430793078632,21,44,42.3962678873505,32.410271205634665,0_A-B,WassersteinDistance,WassersteinDistance,0_WassersteinDistance_A-B
1,A,B,0,PCF_A-B_gmax,493.0,0.6687668068337755,21,44,3.2646754416173414,2.8799839721071225,0_A-B,PCF,PCF_gmax,0_PCF_A-B_gmax
2,A,B,0,PCF_A-B_rpeak,474.5,0.8585165431048499,21,44,5.0,5.0,0_A-B,PCF,PCF_rpeak,0_PCF_A-B_rpeak
3,A,B,0,PCF_A-B_gmin,453.0,0.9050896484015252,21,44,0.9721532088646224,0.9710773664886414,0_A-B,PCF,PCF_gmin,0_PCF_A-B_gmin
4,A,B,0,PCF_A-B_rtrough,446.0,0.8213768452111114,21,44,125.0,125.0,0_A-B,PCF,PCF_rtrough,0_PCF_A-B_rtrough
5,A,B,0,PCF_A-B_int0_20,496.0,0.6384094321572334,21,44,60.57527621148876,54.859725732047224,0_A-B,PCF,PCF_int0_20,0_PCF_A-B_int0_20
6,A,B,0,PCF_A-B_int0_40,490.0,0.6996756256347049,21,44,105.77978380942815,100.09155299194714,0_A-B,PCF,PCF_int0_40,0_PCF_A-B_int0_40
7,A,B,0,PCF_A-B_int0_100,481.0,0.7952416288970201,21,44,191.45246581308012,184.82997405271993,0_A-B,PCF,PCF_int0_100,0_PCF_A-B_int0_100
8,A,B,0,TCM_A-B_H0-nBars,427.0,0.6276297290922699,21,44,16.0,20.5,0_A-B,TCM,TCM_H0-nBars,0_TCM_A-B_H0-nBars
9,A,B,0,TCM_A-B_H1-nBars,410.0,0.4689948890113258,21,44,16.0,17.0,0_A-B,TCM,TCM_H1-nBars,0_TCM_A-B_H1-nBars
10,A,B,0,TCM_A-B_H0-death-mean,460.0,0.9832126577516046,21,44,10.290298102078614,11.076465228394323,0_A-B,TCM,TCM_H0-death-mean,0_TCM_A-B_H0-death-mean
11,A,B,0,TCM_A-B_H0-death-sd,501.0,0.5891544654500582,21,44,10.025610430845026,10.96867570643637,0_A-B,TCM,TCM_H0-death-sd,0_TCM_A-B_H0-death-sd
12,A,B,0,TCM_A-B_H1-birth-mean,485.0,0.7522905844206115,21,44,18.57737458379645,19.539926583845826,0_A-B,TCM,TCM_H1-birth-mean,0_TCM_A-B_H1-birth-mean
13,A,B,0,TCM_A-B_H1-death-mean,462.0,1.0,21,44,28.833566318858757,29.87803282056536,0_A-B,TCM,TCM_H1-death-mean,0_TCM_A-B_H1-death-mean
